projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
analytics-live-stream-api-samples;TokenRequestTest;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab2\java\test\java\lab2\test\TokenRequestTest.java;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab4\java\src\lab4\TokenRequest.java;JUnit4;56;5;Lazy Test;testParseResponse, testRequest;48, 37;48, 37
analytics-live-stream-api-samples;TokenRequestTest;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab2\java\test\java\lab2\test\TokenRequestTest.java;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab4\java\src\lab4\TokenRequest.java;JUnit4;56;5;Duplicate Assert;testParseResponse;50, 53;50, 53
analytics-live-stream-api-samples;TokenRequestTest;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab2\java\test\java\lab2\test\TokenRequestTest.java;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab4\java\src\lab4\TokenRequest.java;JUnit4;56;5;Eager Test;testRequest;37, 38;37, 38
analytics-live-stream-api-samples;TokenRequestTest;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab2\java\test\java\lab2\test\TokenRequestTest.java;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab4\java\src\lab4\TokenRequest.java;JUnit4;56;5;Eager Test;testParseResponse;48, 52;48, 52
analytics-live-stream-api-samples;TokenRequestTest;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab2\java\test\java\lab2\test\TokenRequestTest.java;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab4\java\src\lab4\TokenRequest.java;JUnit4;56;5;Assertion Roulette;testRequest;39-39;39-39
analytics-live-stream-api-samples;TokenRequestTest;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab2\java\test\java\lab2\test\TokenRequestTest.java;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab4\java\src\lab4\TokenRequest.java;JUnit4;56;5;Assertion Roulette;testParseResponse;50-50;50-50
analytics-live-stream-api-samples;TokenRequestTest;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab2\java\test\java\lab2\test\TokenRequestTest.java;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab4\java\src\lab4\TokenRequest.java;JUnit4;56;5;Assertion Roulette;testParseResponse;53-53;53-53
analytics-live-stream-api-samples;LiveStreamConnectionTest;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab3\java\test\java\lab3\test\LiveStreamConnectionTest.java;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab4\java\src\lab4\LiveStreamConnection.java;JUnit4;49;4;Duplicate Assert;testLiveStreamConnection;40, 43;40, 43
analytics-live-stream-api-samples;LiveStreamConnectionTest;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab3\java\test\java\lab3\test\LiveStreamConnectionTest.java;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab4\java\src\lab4\LiveStreamConnection.java;JUnit4;49;4;Eager Test;testLiveStreamConnection;46, 47;46, 47
analytics-live-stream-api-samples;LiveStreamConnectionTest;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab3\java\test\java\lab3\test\LiveStreamConnectionTest.java;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab4\java\src\lab4\LiveStreamConnection.java;JUnit4;49;4;Assertion Roulette;testLiveStreamConnection;40-40;40-40
analytics-live-stream-api-samples;LiveStreamConnectionTest;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab3\java\test\java\lab3\test\LiveStreamConnectionTest.java;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab4\java\src\lab4\LiveStreamConnection.java;JUnit4;49;4;Assertion Roulette;testLiveStreamConnection;43-43;43-43
analytics-live-stream-api-samples;TokenRequestTest;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab3\java\test\java\lab3\test\TokenRequestTest.java;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab4\java\src\lab4\TokenRequest.java;JUnit4;56;5;Lazy Test;testParseResponse, testRequest;49, 38;49, 38
analytics-live-stream-api-samples;TokenRequestTest;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab3\java\test\java\lab3\test\TokenRequestTest.java;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab4\java\src\lab4\TokenRequest.java;JUnit4;56;5;Lazy Test;testParseResponse, testRequest;48, 37;48, 37
analytics-live-stream-api-samples;TokenRequestTest;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab3\java\test\java\lab3\test\TokenRequestTest.java;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab4\java\src\lab4\TokenRequest.java;JUnit4;56;5;Duplicate Assert;testParseResponse;50, 53;50, 53
analytics-live-stream-api-samples;TokenRequestTest;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab3\java\test\java\lab3\test\TokenRequestTest.java;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab4\java\src\lab4\TokenRequest.java;JUnit4;56;5;Eager Test;testRequest;37, 38;37, 38
analytics-live-stream-api-samples;TokenRequestTest;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab3\java\test\java\lab3\test\TokenRequestTest.java;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab4\java\src\lab4\TokenRequest.java;JUnit4;56;5;Eager Test;testParseResponse;48, 52;48, 52
analytics-live-stream-api-samples;TokenRequestTest;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab3\java\test\java\lab3\test\TokenRequestTest.java;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab4\java\src\lab4\TokenRequest.java;JUnit4;56;5;Assertion Roulette;testRequest;39-39;39-39
analytics-live-stream-api-samples;TokenRequestTest;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab3\java\test\java\lab3\test\TokenRequestTest.java;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab4\java\src\lab4\TokenRequest.java;JUnit4;56;5;Assertion Roulette;testParseResponse;50-50;50-50
analytics-live-stream-api-samples;TokenRequestTest;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab3\java\test\java\lab3\test\TokenRequestTest.java;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab4\java\src\lab4\TokenRequest.java;JUnit4;56;5;Assertion Roulette;testParseResponse;53-53;53-53
analytics-live-stream-api-samples;LiveStreamConnectionTest;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab4\java\test\java\lab4\test\LiveStreamConnectionTest.java;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab4\java\src\lab4\LiveStreamConnection.java;JUnit4;49;4;Duplicate Assert;testLiveStreamConnection;40, 43;40, 43
analytics-live-stream-api-samples;LiveStreamConnectionTest;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab4\java\test\java\lab4\test\LiveStreamConnectionTest.java;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab4\java\src\lab4\LiveStreamConnection.java;JUnit4;49;4;Eager Test;testLiveStreamConnection;46, 47;46, 47
analytics-live-stream-api-samples;LiveStreamConnectionTest;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab4\java\test\java\lab4\test\LiveStreamConnectionTest.java;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab4\java\src\lab4\LiveStreamConnection.java;JUnit4;49;4;Assertion Roulette;testLiveStreamConnection;40-40;40-40
analytics-live-stream-api-samples;LiveStreamConnectionTest;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab4\java\test\java\lab4\test\LiveStreamConnectionTest.java;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab4\java\src\lab4\LiveStreamConnection.java;JUnit4;49;4;Assertion Roulette;testLiveStreamConnection;43-43;43-43
analytics-live-stream-api-samples;TokenRequestTest;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab4\java\test\java\lab4\test\TokenRequestTest.java;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab4\java\src\lab4\TokenRequest.java;JUnit4;56;5;Lazy Test;testParseResponse, testRequest;49, 38;49, 38
analytics-live-stream-api-samples;TokenRequestTest;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab4\java\test\java\lab4\test\TokenRequestTest.java;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab4\java\src\lab4\TokenRequest.java;JUnit4;56;5;Lazy Test;testParseResponse, testRequest;48, 37;48, 37
analytics-live-stream-api-samples;TokenRequestTest;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab4\java\test\java\lab4\test\TokenRequestTest.java;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab4\java\src\lab4\TokenRequest.java;JUnit4;56;5;Duplicate Assert;testParseResponse;50, 53;50, 53
analytics-live-stream-api-samples;TokenRequestTest;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab4\java\test\java\lab4\test\TokenRequestTest.java;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab4\java\src\lab4\TokenRequest.java;JUnit4;56;5;Eager Test;testRequest;37, 38;37, 38
analytics-live-stream-api-samples;TokenRequestTest;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab4\java\test\java\lab4\test\TokenRequestTest.java;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab4\java\src\lab4\TokenRequest.java;JUnit4;56;5;Eager Test;testParseResponse;48, 52;48, 52
analytics-live-stream-api-samples;TokenRequestTest;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab4\java\test\java\lab4\test\TokenRequestTest.java;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab4\java\src\lab4\TokenRequest.java;JUnit4;56;5;Assertion Roulette;testRequest;39-39;39-39
analytics-live-stream-api-samples;TokenRequestTest;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab4\java\test\java\lab4\test\TokenRequestTest.java;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab4\java\src\lab4\TokenRequest.java;JUnit4;56;5;Assertion Roulette;testParseResponse;50-50;50-50
analytics-live-stream-api-samples;TokenRequestTest;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab4\java\test\java\lab4\test\TokenRequestTest.java;C:\Users\cebec\.jnose_projects\analytics-live-stream-api-samples\solutions\lab4\java\src\lab4\TokenRequest.java;JUnit4;56;5;Assertion Roulette;testParseResponse;53-53;53-53
